id,timestamp,device,metric_name,value,unit,quality
0,2026-07-01 00:00:00.000,dev-000,pressure,592.64,kPa,GOOD
1,2026-07-01 01:01:01.001,dev-001,current,474.05,A,GOOD
2,2026-07-01 02:02:02.002,dev-002,current,13.17,V,GOOD
3,2026-07-01 03:03:03.003,dev-003,current,234.33,V,UNCERTAIN
4,2026-07-01 04:04:04.004,dev-004,voltage,639.07,kPa,GOOD
5,2026-07-01 05:05:05.005,dev-005,pressure,868.05,A,UNCERTAIN
6,2026-07-01 06:06:06.006,dev-006,temperature,671.41,C,GOOD
7,2026-07-01 07:07:07.007,dev-007,current,42.79,C,GOOD
8,2026-07-01 08:08:08.008,dev-008,voltage,594.75,V,UNCERTAIN
9,2026-07-01 09:09:09.009,dev-009,voltage,728.13,A,UNCERTAIN
10,2026-07-01 10:10:10.010,dev-010,pressure,878.87,C,GOOD
11,2026-07-01 11:11:11.011,dev-011,pressure,494.88,%,UNCERTAIN
12,2026-07-01 12:12:12.012,dev-012,humidity,421.15,V,GOOD
13,2026-07-01 13:13:13.013,dev-013,current,585.07,A,GOOD
14,2026-07-01 14:14:14.014,dev-014,humidity,681.98,C,GOOD
15,2026-07-01 15:15:15.015,dev-015,current,671.27,kPa,GOOD
16,2026-07-01 16:16:16.016,dev-016,current,904.70,A,GOOD
17,2026-07-01 17:17:17.017,dev-017,pressure,632.98,A,GOOD
18,2026-07-01 18:18:18.018,dev-018,humidity,124.43,V,UNCERTAIN
19,2026-07-01 19:19:19.019,dev-019,temperature,344.08,C,UNCERTAIN
20,2026-07-01 20:20:20.020,dev-020,pressure,20.13,V,UNCERTAIN
21,2026-07-01 21:21:21.021,dev-021,temperature,44.19,A,GOOD
22,2026-07-01 22:22:22.022,dev-022,voltage,718.44,%,GOOD
23,2026-07-01 23:23:23.023,dev-023,current,235.95,C,GOOD
24,2026-07-02 00:24:24.024,dev-024,temperature,76.97,A,GOOD
25,2026-07-02 01:25:25.025,dev-025,pressure,971.43,%,GOOD
